,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,zip_code,addr_state
765,20000,20000, 60 months,26.31,602.49,E,E4,Deputy,4 years,MORTGAGE,58000.0,Not Verified,Dec-18,Fully Paid,credit_card,Credit card refinancing,712xx,LA
766,12000,12000, 36 months,7.02,370.64,A,A2,Deputy,10+ years,MORTGAGE,80000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,967xx,HI
767,5500,5500, 36 months,8.19,172.84,A,A4,Supervisor Store Systems,10+ years,RENT,71103.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,853xx,AZ
768,24000,24000, 60 months,13.56,552.98,C,C1,Police Officer ,5 years,MORTGAGE,60000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,442xx,OH
769,30000,30000, 36 months,6.46,918.93,A,A1,Campaign Director,2 years,MORTGAGE,66000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,325xx,FL
770,40000,40000, 60 months,10.33,856.4,B,B1,Pilot,< 1 year,RENT,210000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,282xx,NC
771,9600,9600, 36 months,7.02,296.51,A,A2,Nurse Quality Auditor,< 1 year,MORTGAGE,85200.0,Not Verified,Dec-18,Current,home_improvement,Home improvement,410xx,KY
772,20000,20000, 60 months,8.19,407.35,A,A4,Quality Inspection,10+ years,MORTGAGE,80000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,550xx,MN
773,9600,9600, 36 months,6.46,294.06,A,A1,Satellite Engineer,5 years,RENT,80000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,331xx,FL
774,11700,11700, 60 months,10.33,250.5,B,B1,Customer Service,10+ years,MORTGAGE,48000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,541xx,WI
775,25000,25000, 60 months,15.02,595.02,C,C3,Production,10+ years,MORTGAGE,50000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,535xx,WI
776,7800,7800, 36 months,7.02,240.92,A,A2,Mechanic,10+ years,OWN,40000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,247xx,WV
777,28000,28000, 60 months,14.47,658.36,C,C2,Construction Manager,3 years,MORTGAGE,54000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,240xx,VA
778,25000,25000, 60 months,11.8,553.59,B,B4,Dealer,5 years,RENT,72000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,925xx,CA
779,6500,6500, 36 months,8.19,204.26,A,A4,Dealer,5 years,RENT,105000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,234xx,VA
780,40000,40000, 36 months,6.46,1225.24,A,A4,Administrator,1 year,RENT,100000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,452xx,OH
781,5000,5000, 36 months,26.31,202.28,E,E4,Manager,2 years,RENT,72000.0,Not Verified,Dec-18,Current,moving,Moving and relocation,112xx,NY
782,15000,15000, 60 months,16.91,372.07,C,C5,Manager,10+ years,RENT,76000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,672xx,KS
783,19700,19700, 60 months,10.72,425.58,B,B2,Networking,2 years,MORTGAGE,32000.0,Verified,Dec-18,Current,other,Other,303xx,GA
784,10000,10000, 60 months,14.47,235.13,C,C2,Tower  technician ,4 years,OWN,54000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,316xx,GA
785,5000,5000, 36 months,10.33,162.12,B,B1,Retail Manager,9 years,MORTGAGE,144000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,151xx,PA
786,30000,30000, 36 months,16.14,1056.79,C,C4,Manager,4 years,MORTGAGE,91000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,441xx,OH
787,27000,27000, 60 months,22.35,751.1,D,D5,executive chef,1 year,MORTGAGE,75000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,299xx,SC
788,10500,10500, 36 months,14.47,361.27,C,C2,painter,10+ years,RENT,51500.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,063xx,CT
789,9000,9000, 36 months,7.56,280.21,A,A3,Accounting,4 years,RENT,47000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,946xx,CA
790,16000,16000, 36 months,11.8,529.91,B,B4,Maintenance,< 1 year,MORTGAGE,35000.0,Verified,Dec-18,Current,major_purchase,Major purchase,606xx,IL
791,20000,20000, 36 months,11.8,662.38,B,B4,Senior Care Coordinator,10+ years,MORTGAGE,75000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,111xx,NY
792,8400,8400, 36 months,11.31,276.25,B,B3,Driver/messenger ,1 year,RENT,43000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,481xx,MI
793,11000,11000, 60 months,10.33,235.51,B,B1,Nurse,7 years,MORTGAGE,87000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,441xx,OH
794,3375,3375, 36 months,14.47,116.13,C,C2,Special Education Teacher,4 years,MORTGAGE,39409.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,609xx,IL
795,5500,5500, 36 months,6.46,168.47,A,A1,Fitness Consultant,< 1 year,OWN,40000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,064xx,CT
796,32625,32625, 36 months,12.98,1098.96,B,B5,Chief of police,2 years,MORTGAGE,166000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,245xx,VA
797,12000,12000, 36 months,7.02,370.64,A,A2,Pipefitter,1 year,MORTGAGE,80000.0,Source Verified,Dec-18,Current,home_improvement,Home improvement,674xx,KS
798,35000,35000, 60 months,17.97,888.2,D,D1,Regional Business Director,2 years,RENT,120000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,070xx,NJ
799,8000,8000, 36 months,8.19,251.4,A,A4,Mix pesticides,9 years,RENT,63000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,334xx,FL
800,10000,10000, 60 months,12.98,227.43,B,B5,kitchen and bath designer,1 year,MORTGAGE,60000.0,Not Verified,Dec-18,Fully Paid,car,Car financing,028xx,RI
801,20000,20000, 36 months,10.33,648.45,B,B1,distributor,8 years,MORTGAGE,60000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,960xx,CA
802,36000,36000, 36 months,10.33,1167.21,B,B1,Account manager ,10+ years,OWN,118000.0,Verified,Dec-18,Current,credit_card,Credit card refinancing,117xx,NY
803,15000,15000, 36 months,8.19,471.37,A,A4,Account manager ,< 1 year,MORTGAGE,260000.0,Verified,Dec-18,Current,credit_card,Credit card refinancing,432xx,OH
804,17500,17500, 60 months,22.35,486.82,D,D5,Store Manager,9 years,MORTGAGE,50000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,448xx,OH
805,10400,10400, 36 months,12.98,350.32,B,B5,Retail Relationship Banker,10+ years,MORTGAGE,66000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,150xx,PA
806,10450,10450, 36 months,11.31,343.66,B,B3,Library Associate,< 1 year,MORTGAGE,30000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,121xx,NY
807,3500,3500, 36 months,10.72,114.13,B,B2,Global Product marketing manager ,2 years,OWN,195000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,750xx,TX
808,6000,6000, 36 months,13.56,203.79,C,C1,Service Coordinator ,1 year,RENT,35000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,174xx,PA
809,10800,10800, 60 months,10.72,233.32,B,B2,Cnc operator,9 years,MORTGAGE,59999.0,Verified,Dec-18,Current,credit_card,Credit card refinancing,770xx,TX
810,8500,8500, 36 months,8.81,269.55,A,A5,Teacher,10+ years,MORTGAGE,67000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,281xx,NC
811,24000,24000, 36 months,16.91,854.6,C,C5,Env Safety Director,9 years,MORTGAGE,125000.0,Verified,Dec-18,Current,credit_card,Credit card refinancing,881xx,NM
812,12000,12000, 36 months,6.46,367.57,A,A1,management ,7 years,MORTGAGE,50000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,480xx,MI
813,10000,10000, 36 months,6.46,306.31,A,A1,Firefighter ,10+ years,MORTGAGE,105000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,174xx,PA
814,38800,38800, 60 months,11.8,859.17,B,B4,Business Development ,1 year,MORTGAGE,120000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,704xx,LA
815,30000,30000, 60 months,13.56,691.23,C,C1,Flight Attendant,5 years,RENT,55000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,303xx,GA
816,40000,40000, 36 months,11.31,1315.43,B,B3,Surgical Technologist,10+ years,MORTGAGE,122000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,077xx,NJ
817,3500,3500, 36 months,11.31,115.11,B,B3,Surgical Technologist,10+ years,OWN,34500.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,481xx,MI
818,40000,40000, 60 months,11.8,885.75,B,B4,Surgical Technologist,< 1 year,RENT,214644.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,946xx,CA
819,15000,15000, 60 months,11.8,332.16,B,B4,Clinical dietitian ,1 year,OWN,62000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,797xx,TX
820,2800,2800, 36 months,6.46,85.77,A,A1,Clerk,10+ years,MORTGAGE,40000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,254xx,WV
821,7000,7000, 36 months,6.46,214.42,A,A1,Clerk,< 1 year,OWN,25000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,342xx,FL
822,25000,25000, 36 months,7.56,778.35,A,A3,Clerk,< 1 year,RENT,100000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,112xx,NY
823,20000,20000, 60 months,11.8,442.88,B,B4,Escrow officer,10+ years,MORTGAGE,48400.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,856xx,AZ
824,36000,36000, 60 months,12.98,818.75,B,B5,Senior Accounting,6 years,MORTGAGE,190000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,560xx,MN
825,10000,10000, 36 months,17.97,361.38,D,D1,test technician,5 years,RENT,50000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,923xx,CA
826,40000,40000, 60 months,18.94,1036.31,D,D2,Nurse Anesthetist,7 years,MORTGAGE,225000.0,Source Verified,Dec-18,Current,home_improvement,Home improvement,537xx,WI
827,11000,11000, 60 months,16.91,272.85,C,C5,A/V Production Specialist,3 years,MORTGAGE,86000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,211xx,MD
828,11000,11000, 36 months,6.46,336.94,A,A1,School Readiness Teacher,3 years,ANY,45000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,553xx,MN
829,29050,29050, 36 months,10.33,941.87,B,B1,Executive Casino Host,< 1 year,MORTGAGE,68000.0,Source Verified,Dec-18,Fully Paid,home_improvement,Home improvement,605xx,IL
830,20000,20000, 36 months,25.34,798.8,B,B1,Glazier,7 years,MORTGAGE,50000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,731xx,OK
831,10000,10000, 36 months,11.31,328.86,B,B3,Director of Financial Aid -Retention,3 years,RENT,75000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,112xx,NY
832,18000,18000, 36 months,26.31,728.21,E,E4,Store manager,7 years,MORTGAGE,98000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,060xx,CT
833,40000,40000, 60 months,8.19,814.7,A,A4,Director of Operations,3 years,MORTGAGE,110000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,303xx,GA
834,15500,15500, 36 months,7.02,478.74,A,A2,Deputy Sheriff,5 years,MORTGAGE,50000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,301xx,GA
835,1000,1000, 36 months,13.56,33.97,C,C1,Customer service ,1 year,RENT,42140.0,Not Verified,Dec-18,Fully Paid,moving,Moving and relocation,370xx,TN
836,1000,1000, 36 months,23.4,38.92,E,E1,Unix System Engineer,2 years,RENT,115000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,320xx,FL
837,12500,12500, 36 months,14.47,430.08,C,C2,asst manager service tech,1 year,MORTGAGE,120000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,317xx,GA
838,1000,1000, 36 months,10.33,32.43,B,B1,Technician,10+ years,MORTGAGE,89000.0,Not Verified,Dec-18,Current,medical,Medical expenses,243xx,VA
839,25000,25000, 60 months,10.33,535.25,B,B1,LVN,4 years,RENT,82000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,920xx,CA
840,5000,5000, 36 months,7.56,155.67,A,A3,"Director, Reinsurance",2 years,MORTGAGE,225000.0,Not Verified,Dec-18,Current,small_business,Business,064xx,CT
841,35000,35000, 60 months,10.72,756.11,B,B2,Administrative Assistant,8 years,MORTGAGE,25400.0,Not Verified,Dec-18,Current,home_improvement,Home improvement,331xx,FL
842,3000,3000, 36 months,11.31,98.66,B,B3,Technician,6 years,RENT,47000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,371xx,TN
843,1500,1500, 36 months,20.89,56.43,D,D4,Technician,6 years,RENT,45000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,207xx,MD
844,22000,22000, 60 months,11.8,487.16,B,B4,Registered Nurse ,1 year,RENT,65000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,600xx,IL
845,6000,6000, 36 months,6.46,183.79,A,A1,Registered Nurse ,< 1 year,RENT,50000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,941xx,CA
846,6000,6000, 36 months,7.56,186.81,A,A3,Recruiter ,10+ years,RENT,64000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,349xx,FL
847,10000,10000, 36 months,10.33,324.23,B,B1,Maitenance,3 years,MORTGAGE,60000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,932xx,CA
848,4500,4500, 36 months,27.27,184.37,E,E5,Maitenance,< 1 year,RENT,45000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,124xx,NY
849,16000,16000, 36 months,8.81,507.39,A,A5,Agency producer,5 years,RENT,43000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,082xx,NJ
850,40000,40000, 60 months,15.02,952.02,C,C3,Agency producer,5 years,MORTGAGE,70000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,207xx,MD
851,5000,5000, 36 months,24.37,197.14,E,E2,Sales Representative ,4 years,RENT,45000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,922xx,CA
852,12000,12000, 36 months,14.47,412.88,C,C2,Director of Institutional Research and S,8 years,MORTGAGE,99600.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,211xx,MD
853,4000,4000, 36 months,8.19,125.7,A,A4,Nurse,4 years,MORTGAGE,85000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,254xx,WV
854,10000,10000, 36 months,6.46,306.31,A,A1,Certified Vet Assistant ,7 years,MORTGAGE,50000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,833xx,ID
855,16850,16850, 36 months,11.8,558.06,B,B4,Certified Vet Assistant ,7 years,RENT,13032.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,765xx,TX
856,16000,16000, 36 months,6.46,490.1,A,A1,Certified Vet Assistant ,7 years,OWN,48000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,760xx,TX
857,7000,7000, 36 months,6.46,214.42,A,A1,Certified Vet Assistant ,7 years,MORTGAGE,36000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,451xx,OH
858,6500,6500, 36 months,8.81,206.13,A,A5,Marketing Manager,3 years,MORTGAGE,88000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,016xx,MA
859,20000,20000, 60 months,16.91,496.09,C,C5,Sr Supply Chain Manager,5 years,OWN,68000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,341xx,FL
860,12600,12600, 36 months,27.27,516.23,E,E5,Trust Officer,3 years,OWN,60000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,300xx,GA
861,4800,4800, 36 months,8.19,150.84,A,A4,customer service rep,7 years,RENT,39000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,544xx,WI
862,16000,16000, 36 months,10.72,521.71,B,B2,Administrative assistant,8 years,MORTGAGE,60000.0,Verified,Dec-18,Current,credit_card,Credit card refinancing,463xx,IN
863,5000,5000, 36 months,8.81,158.56,A,A5,Teacher,8 years,MORTGAGE,55000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,531xx,WI
864,31025,31025, 60 months,22.35,863.07,A,A5,Teacher,8 years,RENT,84000.0,Verified,Dec-18,Current,other,Other,330xx,FL
865,15000,15000, 60 months,11.8,332.16,B,B4,Clinic Director,3 years,MORTGAGE,150000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,023xx,MA
866,14400,14400, 36 months,16.91,512.76,C,C5,Consultant,2 years,RENT,60000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,020xx,MA
867,15000,15000, 36 months,10.72,489.1,B,B2,Product Development Advisor,1 year,RENT,110000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,029xx,RI
868,25000,25000, 60 months,14.47,587.82,C,C2,Vice President,10+ years,MORTGAGE,170000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,895xx,NV
869,1200,1200, 36 months,26.31,48.55,E,E4,Mortgage Banking Officer,5 years,MORTGAGE,35000.0,Not Verified,Dec-18,Current,other,Other,780xx,TX
870,5000,5000, 36 months,13.56,169.83,C,C1,Manager,8 years,RENT,99000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,201xx,VA
871,7000,7000, 36 months,17.97,252.97,D,D1,Bus driver ,10+ years,RENT,32000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,495xx,MI
872,30000,30000, 60 months,17.97,761.32,D,D1,Business Account Execuite ,4 years,RENT,135000.0,Source Verified,Dec-18,Current,other,Other,104xx,NY
873,3500,3500, 36 months,18.94,128.19,D,D2,District Manager,10+ years,MORTGAGE,86407.40846679515,Verified,Dec-18,Fully Paid,small_business,Business,898xx,NV
874,12700,12700, 60 months,11.8,281.23,B,B4,Warehouse,10+ years,MORTGAGE,60000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,600xx,IL
875,3500,3500, 36 months,11.31,115.11,B,B3,Communications Specialist,1 year,MORTGAGE,60000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,217xx,MD
876,24000,23975, 60 months,11.8,531.45,B,B4,Professional Learning Specialist,5 years,MORTGAGE,170000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,781xx,TX
877,30000,30000, 36 months,10.72,978.19,B,B2,Principal,10+ years,OWN,96000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,775xx,TX
878,20000,20000, 36 months,11.31,657.72,B,B3,Principal,< 1 year,MORTGAGE,118000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,950xx,CA
879,11000,11000, 36 months,10.33,356.65,B,B1,Principal,< 1 year,MORTGAGE,40000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,206xx,MD
880,7500,7475, 36 months,8.81,237.84,A,A5,Principal,< 1 year,MORTGAGE,89000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,209xx,MD
881,8000,8000, 36 months,11.8,264.96,B,B4,Remote inpatient coder,3 years,RENT,69000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,328xx,FL
882,9000,9000, 36 months,10.72,293.46,B,B2,Tech,10+ years,RENT,54000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,463xx,IN
883,40000,40000, 60 months,10.72,864.13,B,B2,Tax Senior Manager,< 1 year,RENT,180000.0,Source Verified,Dec-18,Current,other,Other,750xx,TX
884,15000,14975, 60 months,13.56,345.62,C,C1,Surveyor,< 1 year,MORTGAGE,85000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,770xx,TX
885,35000,35000, 36 months,16.91,1246.28,C,C5,HR Director ,1 year,MORTGAGE,237000.0,Verified,Dec-18,Current,major_purchase,Major purchase,711xx,LA
886,40000,40000, 36 months,12.98,1347.38,B,B5,VP of sales,1 year,MORTGAGE,225000.0,Not Verified,Dec-18,Current,small_business,Business,064xx,CT
887,4800,4800, 36 months,13.56,163.03,C,C1,Sales,10+ years,MORTGAGE,77000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,119xx,NY
888,18000,18000, 36 months,15.02,624.16,C,C3,Special Inspector,4 years,RENT,58000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,980xx,WA
889,16000,16000, 36 months,7.56,498.15,A,A3,registered nurse,10+ years,MORTGAGE,79000.0,Not Verified,Dec-18,Current,home_improvement,Home improvement,433xx,OH
890,10000,10000, 60 months,16.14,243.93,C,C4,Director,10+ years,MORTGAGE,173500.0,Source Verified,Dec-18,Current,other,Other,906xx,CA
891,16500,16500, 60 months,11.8,365.37,C,C4,Operations Manager ,8 years,RENT,50000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,752xx,TX
892,12000,12000, 36 months,7.56,373.61,C,C4,Air Traffic Controller,10+ years,MORTGAGE,94992.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,863xx,AZ
893,15000,15000, 36 months,19.92,556.85,D,D3,RRT,10+ years,MORTGAGE,82038.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,335xx,FL
894,8000,8000, 36 months,11.8,264.96,B,B4,Senior analyst,3 years,MORTGAGE,53188.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,786xx,TX
895,12500,12500, 60 months,17.97,317.22,D,D1,Police Officer,1 year,RENT,68000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,067xx,CT
896,15000,15000, 60 months,12.98,341.15,B,B5,Enrollment Coordinator,6 years,RENT,61000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,112xx,NY
897,15000,15000, 36 months,8.81,475.68,A,A5,Sales Consultant,5 years,RENT,60000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,104xx,NY
898,15000,15000, 36 months,7.02,463.3,A,A2,Arbitration supervisor ,3 years,OWN,125000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,125xx,NY
899,8000,8000, 36 months,11.8,264.96,B,B4,Manager ,2 years,RENT,22000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,853xx,AZ
900,25000,25000, 36 months,11.8,827.98,B,B4,Manager ,< 1 year,RENT,160000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,028xx,RI
901,6000,6000, 36 months,8.19,188.55,A,A4,Teacher,10+ years,MORTGAGE,86407.40846679515,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,275xx,NC
902,12000,12000, 36 months,8.19,377.09,A,A4,sales Representative ,4 years,MORTGAGE,60000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,564xx,MN
903,40000,40000, 60 months,11.8,885.75,B,B4,sales Representative ,4 years,RENT,223000.0,Not Verified,Dec-18,Current,other,Other,864xx,AZ
904,9000,9000, 36 months,12.98,303.16,B,B5,dealer,3 years,RENT,48000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,891xx,NV
905,14000,14000, 36 months,12.98,471.59,B,B5,IT Manager,6 years,RENT,70000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,463xx,IN
906,15000,15000, 60 months,10.72,324.05,B,B2,COO,4 years,RENT,120000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,018xx,MA
907,9500,9500, 36 months,8.81,301.26,A,A5,COO,< 1 year,RENT,45000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,948xx,CA
908,7500,7500, 36 months,19.92,278.43,D,D3,Clinician ,2 years,RENT,60000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,100xx,NY
909,5000,5000, 36 months,7.56,155.67,A,A3,Client Service Rep,10+ years,MORTGAGE,36000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,481xx,MI
910,5000,5000, 36 months,8.81,158.56,A,A5,loan funding officer,3 years,MORTGAGE,47000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,919xx,CA
911,4400,4400, 36 months,12.98,148.22,B,B5,Detailer,1 year,RENT,45000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,751xx,TX
912,6000,6000, 36 months,16.14,211.36,C,C4,Assist  teacher,10+ years,RENT,50000.0,Not Verified,Dec-18,Current,car,Car financing,104xx,NY
913,19000,19000, 36 months,6.46,581.99,A,A1,Platoon Sergeant,10+ years,MORTGAGE,80000.0,Not Verified,Dec-18,Current,other,Other,314xx,GA
914,21600,21600, 60 months,10.72,466.63,B,B2,Business Process Owner - HR,10+ years,MORTGAGE,106000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,530xx,WI
915,32000,32000, 60 months,8.19,651.76,A,A4,Business Process Owner - HR,< 1 year,MORTGAGE,50000.0,Not Verified,Dec-18,Current,small_business,Business,731xx,OK
916,40000,40000, 60 months,11.8,885.75,A,A4,Customer support ,10+ years,MORTGAGE,86200.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,770xx,TX
917,10000,10000, 36 months,7.56,311.34,A,A3,Director,5 years,MORTGAGE,125000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,201xx,VA
918,11000,11000, 36 months,8.81,348.83,A,A5,private client banker,3 years,RENT,75000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,104xx,NY
919,6000,5975, 36 months,12.98,202.11,B,B5,cook,1 year,RENT,29159.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,802xx,CO
920,15000,15000, 36 months,7.56,467.01,A,A3,Software Engineer,< 1 year,MORTGAGE,148000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,145xx,NY
921,15000,15000, 60 months,11.8,332.16,B,B4,Inspector,10+ years,RENT,35000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,140xx,NY
922,5000,5000, 36 months,11.8,165.6,B,B4,Inspector,10+ years,RENT,30000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,982xx,WA
923,12000,12000, 36 months,13.56,407.58,C,C1,Insurance agent ,3 years,RENT,50000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,331xx,FL
924,6000,6000, 36 months,7.02,185.32,A,A2,Financial Analyst,3 years,MORTGAGE,60000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,336xx,FL
925,19000,19000, 36 months,7.02,586.84,A,A2,Customer service maanger,8 years,MORTGAGE,40000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,241xx,VA
926,7500,7500, 36 months,10.72,244.55,A,A2,Quality Engineer,1 year,RENT,57000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,152xx,PA
927,20000,20000, 36 months,15.02,693.51,C,C3,teacher,10+ years,MORTGAGE,102000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,305xx,GA
